"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/09/2025";"0000";"14,7";"15,3";"14,6";"88,0";"89,0";"86,0";"12,7";"13,0";"12,7";"907,5";"907,6";"907,2";"7,6";"86,0";"11,0";"";"0,0"
"01/09/2025";"0100";"14,3";"14,7";"14,1";"89,0";"91,0";"88,0";"12,5";"12,8";"12,5";"907,9";"907,9";"907,5";"8,2";"77,0";"12,3";"";"0,0"
"01/09/2025";"0200";"14,0";"14,4";"13,9";"89,0";"90,0";"88,0";"12,2";"12,5";"12,1";"908,1";"908,1";"907,9";"8,2";"77,0";"12,2";"";"0,0"
"01/09/2025";"0300";"13,6";"14,1";"13,6";"90,0";"90,0";"88,0";"12,0";"12,3";"12,0";"907,9";"908,1";"907,8";"6,7";"74,0";"12,7";"";"0,0"
"01/09/2025";"0400";"13,6";"13,8";"13,6";"88,0";"90,0";"87,0";"11,7";"12,1";"11,7";"907,6";"907,9";"907,6";"7,5";"62,0";"12,3";"";"0,0"
"01/09/2025";"0500";"13,7";"13,9";"13,6";"87,0";"88,0";"86,0";"11,5";"11,7";"11,5";"907,2";"907,6";"907,0";"7,9";"61,0";"14,6";"";"0,0"
"01/09/2025";"0600";"14,0";"14,0";"13,6";"86,0";"88,0";"86,0";"11,8";"11,8";"11,5";"907,1";"907,3";"907,1";"7,5";"65,0";"12,9";"";"0,0"
"01/09/2025";"0700";"14,5";"14,6";"13,9";"84,0";"87,0";"84,0";"11,9";"12,0";"11,8";"906,2";"907,1";"906,1";"8,3";"60,0";"13,0";"";"0,0"
"01/09/2025";"0800";"14,4";"14,7";"14,3";"86,0";"86,0";"84,0";"12,1";"12,2";"11,9";"906,3";"906,3";"906,0";"8,7";"57,0";"13,0";"";"0,0"
"01/09/2025";"0900";"14,1";"14,5";"13,9";"88,0";"88,0";"85,0";"12,0";"12,0";"11,9";"906,2";"906,3";"906,0";"7,1";"61,0";"13,0";"";"0,0"
