"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2025";"0000";"25,2";"26,0";"25,2";"";"";"";"";"";"";"933,4";"933,4";"932,6";"3,1";"108,0";"5,3";"";"0,0"
"01/01/2025";"0100";"25,2";"25,5";"24,9";"";"";"";"";"";"";"933,8";"933,8";"933,5";"3,6";"96,0";"5,3";"";"0,0"
"01/01/2025";"0200";"24,4";"25,2";"24,4";"";"";"";"";"";"";"933,9";"933,9";"933,7";"2,3";"80,0";"6,0";"";"0,0"
"01/01/2025";"0300";"23,8";"24,5";"23,8";"";"";"";"";"";"";"933,8";"934,0";"933,8";"3,2";"100,0";"4,8";"";"0,0"
"01/01/2025";"0400";"23,0";"23,8";"22,9";"";"";"";"";"";"";"933,3";"933,8";"933,3";"3,4";"102,0";"5,5";"";"0,0"
"01/01/2025";"0500";"22,3";"23,0";"22,3";"";"";"";"";"";"";"933,0";"933,3";"933,0";"2,9";"90,0";"4,8";"";"0,0"
"01/01/2025";"0600";"22,0";"22,3";"21,7";"";"";"";"";"";"";"932,6";"933,1";"932,6";"2,8";"66,0";"5,5";"";"0,0"
"01/01/2025";"0700";"21,8";"22,2";"21,6";"";"";"";"";"";"";"932,9";"932,9";"932,5";"2,1";"48,0";"5,1";"";"0,0"
"01/01/2025";"0800";"21,5";"21,9";"21,5";"";"";"";"";"";"";"933,5";"933,5";"932,9";"1,4";"77,0";"4,4";"";"0,0"
"01/01/2025";"0900";"21,8";"21,9";"21,4";"";"";"";"";"";"";"934,0";"934,1";"933,5";"3,3";"56,0";"5,3";"15,70";"0,0"
"01/01/2025";"1000";"23,0";"23,0";"21,8";"";"";"";"";"";"";"934,3";"934,3";"934,0";"3,6";"56,0";"7,2";"456,60";"0,0"
"01/01/2025";"1100";"25,2";"25,2";"23,0";"";"";"";"";"";"";"935,0";"935,0";"934,3";"3,8";"34,0";"6,4";"1235,10";"0,0"
"01/01/2025";"1200";"26,2";"26,5";"25,2";"";"";"";"";"";"";"935,3";"935,3";"934,9";"5,2";"26,0";"9,8";"2124,80";"0,0"
"01/01/2025";"1300";"27,0";"27,9";"26,0";"";"";"";"";"";"";"935,5";"935,6";"935,3";"3,9";"7,0";"9,8";"2333,10";"0,0"
"01/01/2025";"1400";"28,7";"28,8";"26,9";"";"";"";"";"";"";"934,9";"935,5";"934,9";"5,1";"355,0";"8,9";"2425,50";"0,0"
"01/01/2025";"1500";"29,3";"30,2";"28,6";"";"";"";"";"";"";"934,3";"934,9";"934,3";"5,2";"359,0";"9,9";"3908,40";"0,0"
