"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/09/2025";"0000";"14,8";"15,1";"14,8";"84,0";"85,0";"84,0";"12,2";"12,4";"12,2";"913,4";"913,4";"912,8";"5,5";"68,0";"10,5";"";"0,0"
"01/09/2025";"0100";"14,6";"14,8";"14,5";"85,0";"86,0";"84,0";"12,1";"12,2";"12,0";"913,6";"913,6";"913,3";"4,6";"67,0";"10,5";"";"0,2"
"01/09/2025";"0200";"14,3";"14,6";"14,2";"86,0";"86,0";"85,0";"11,9";"12,1";"11,9";"913,6";"913,7";"913,4";"4,4";"68,0";"10,9";"";"0,0"
"01/09/2025";"0300";"13,9";"14,4";"13,9";"86,0";"86,0";"84,0";"11,6";"12,0";"11,6";"913,7";"913,8";"913,5";"3,5";"67,0";"9,5";"";"0,0"
"01/09/2025";"0400";"14,0";"14,1";"13,9";"89,0";"91,0";"86,0";"12,2";"12,5";"11,6";"912,6";"913,7";"912,6";"6,3";"67,0";"11,7";"";"0,0"
"01/09/2025";"0500";"14,0";"14,2";"13,9";"87,0";"89,0";"85,0";"11,9";"12,2";"11,6";"912,3";"912,7";"912,2";"7,1";"67,0";"13,5";"";"0,0"
"01/09/2025";"0600";"14,1";"14,2";"13,9";"86,0";"88,0";"86,0";"11,8";"12,1";"11,8";"912,1";"912,3";"911,8";"6,6";"65,0";"11,9";"";"0,2"
"01/09/2025";"0700";"14,0";"14,3";"13,9";"89,0";"89,0";"86,0";"12,3";"12,3";"11,9";"911,7";"912,2";"911,7";"4,7";"55,0";"11,8";"";"0,0"
"01/09/2025";"0800";"14,3";"14,3";"13,9";"89,0";"91,0";"89,0";"12,6";"12,6";"12,3";"911,9";"911,9";"911,6";"5,2";"60,0";"10,1";"";"0,0"
"01/09/2025";"0900";"14,2";"14,4";"14,1";"88,0";"92,0";"88,0";"12,3";"12,8";"12,3";"911,9";"912,1";"911,7";"6,0";"68,0";"11,2";"";"0,0"
"01/09/2025";"1000";"14,1";"14,3";"14,0";"88,0";"89,0";"87,0";"12,2";"12,3";"12,0";"912,2";"912,5";"911,8";"7,1";"67,0";"14,6";"54,40";"0,0"
"01/09/2025";"1100";"15,2";"15,2";"14,1";"84,0";"88,0";"84,0";"12,5";"12,5";"12,2";"912,4";"912,4";"912,1";"8,6";"62,0";"15,3";"554,30";"0,2"
"01/09/2025";"1200";"16,0";"16,2";"15,2";"80,0";"84,0";"80,0";"12,6";"12,9";"12,2";"912,8";"912,9";"912,3";"9,2";"50,0";"15,9";"983,40";"0,0"
"01/09/2025";"1300";"16,0";"16,9";"16,0";"80,0";"81,0";"77,0";"12,7";"13,1";"12,5";"913,4";"913,4";"912,6";"8,9";"57,0";"16,6";"1201,80";"0,0"
"01/09/2025";"1400";"17,1";"17,1";"16,0";"79,0";"82,0";"79,0";"13,5";"13,6";"12,7";"913,6";"913,8";"913,3";"7,7";"50,0";"16,0";"1122,20";"0,0"
"01/09/2025";"1500";"17,3";"17,5";"16,7";"78,0";"81,0";"78,0";"13,4";"13,7";"13,1";"913,4";"913,7";"913,3";"6,4";"38,0";"12,0";"1237,70";"0,0"
"01/09/2025";"1600";"17,9";"18,2";"17,2";"76,0";"78,0";"75,0";"13,5";"13,9";"13,2";"913,1";"913,5";"913,1";"6,4";"58,0";"11,2";"1142,00";"0,2"
"01/09/2025";"1700";"19,3";"20,0";"17,9";"70,0";"76,0";"68,0";"13,6";"14,3";"13,3";"912,7";"913,1";"912,5";"6,1";"50,0";"11,3";"1819,30";"0,0"
"01/09/2025";"1800";"19,6";"19,7";"18,8";"71,0";"72,0";"68,0";"14,1";"14,1";"13,1";"912,3";"912,8";"912,2";"5,9";"67,0";"10,0";"1337,90";"0,0"
"01/09/2025";"1900";"19,1";"20,1";"18,8";"72,0";"72,0";"69,0";"14,0";"14,6";"13,5";"912,4";"912,5";"912,3";"4,8";"83,0";"9,6";"1662,30";"0,0"
"01/09/2025";"2000";"17,2";"19,3";"17,2";"80,0";"80,0";"71,0";"13,8";"14,1";"13,5";"911,9";"912,5";"911,9";"5,7";"77,0";"10,9";"683,40";"0,0"
"01/09/2025";"2100";"16,0";"17,2";"16,0";"86,0";"86,0";"80,0";"13,7";"13,7";"13,6";"912,4";"912,5";"911,9";"4,4";"75,0";"10,7";"75,10";"0,2"
"01/09/2025";"2200";"15,9";"16,0";"15,8";"87,0";"88,0";"86,0";"13,7";"13,9";"13,7";"912,5";"912,5";"912,3";"4,5";"75,0";"9,9";"";"0,0"
"01/09/2025";"2300";"15,8";"16,0";"15,8";"86,0";"87,0";"85,0";"13,4";"13,7";"13,4";"912,8";"912,9";"912,5";"5,2";"74,0";"11,1";"";"0,0"
