"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/10/2024";"0000";"28,6";"29,1";"28,4";"";"";"";"";"";"";"932,7";"932,7";"932,4";"4,6";"31,0";"7,3";"";"0,0"
"01/10/2024";"0100";"27,2";"28,7";"27,2";"";"";"";"";"";"";"932,7";"932,9";"932,6";"4,6";"10,0";"7,7";"";"0,0"
"01/10/2024";"0200";"26,5";"27,2";"26,4";"";"";"";"";"";"";"932,7";"932,8";"932,7";"5,0";"11,0";"8,1";"";"0,0"
"01/10/2024";"0300";"26,0";"27,0";"25,9";"";"";"";"";"";"";"932,4";"932,7";"932,3";"4,4";"17,0";"8,4";"";"0,0"
"01/10/2024";"0400";"25,5";"26,1";"25,3";"";"";"";"";"";"";"932,4";"932,6";"932,4";"4,6";"21,0";"6,9";"";"0,0"
"01/10/2024";"0500";"24,7";"25,6";"24,7";"";"";"";"";"";"";"931,6";"932,4";"931,6";"4,4";"13,0";"7,8";"";"0,0"
"01/10/2024";"0600";"25,0";"25,3";"24,4";"";"";"";"";"";"";"931,0";"931,6";"931,0";"4,6";"18,0";"7,4";"";"0,0"
"01/10/2024";"0700";"25,2";"25,3";"24,9";"";"";"";"";"";"";"930,9";"931,0";"930,6";"4,6";"20,0";"9,0";"";"0,0"
"01/10/2024";"0800";"24,9";"25,4";"24,9";"";"";"";"";"";"";"931,0";"931,0";"930,8";"4,8";"26,0";"9,3";"";"0,0"
"01/10/2024";"0900";"25,1";"25,2";"24,8";"";"";"";"";"";"";"931,4";"931,4";"931,0";"5,1";"25,0";"8,0";"";"0,0"
"01/10/2024";"1000";"25,3";"25,4";"24,8";"";"";"";"";"";"";"931,9";"931,9";"931,4";"5,6";"14,0";"8,5";"97,60";"0,0"
"01/10/2024";"1100";"26,5";"26,5";"25,3";"";"";"";"";"";"";"932,0";"932,2";"931,9";"6,8";"7,0";"9,8";"738,40";"0,0"
