"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"19/10/2025";"0000";"10,3";"11,6";"10,2";"84,0";"84,0";"78,0";"7,7";"7,9";"7,6";"904,8";"904,8";"904,2";"3,2";"158,0";"7,4";"";"0,0"
"19/10/2025";"0100";"10,2";"10,6";"10,1";"85,0";"86,0";"84,0";"7,8";"8,0";"7,7";"905,2";"905,3";"904,8";"5,0";"153,0";"7,6";"";"0,0"
"19/10/2025";"0200";"10,0";"10,2";"9,8";"87,0";"88,0";"85,0";"7,9";"8,0";"7,7";"905,6";"905,6";"905,2";"3,7";"151,0";"7,4";"";"0,0"
"19/10/2025";"0300";"9,7";"10,0";"9,6";"89,0";"90,0";"87,0";"8,0";"8,0";"7,8";"905,6";"905,8";"905,6";"3,4";"154,0";"7,0";"";"0,0"
"19/10/2025";"0400";"8,5";"9,8";"8,5";"88,0";"89,0";"87,0";"6,6";"8,0";"6,6";"905,7";"905,7";"905,4";"4,2";"165,0";"8,2";"";"0,0"
"19/10/2025";"0500";"8,3";"8,7";"8,0";"87,0";"89,0";"86,0";"6,3";"6,6";"6,2";"905,7";"905,8";"905,7";"3,9";"157,0";"7,3";"";"0,0"
"19/10/2025";"0600";"8,5";"8,6";"8,3";"88,0";"89,0";"86,0";"6,6";"6,7";"6,3";"905,6";"905,7";"905,5";"3,7";"156,0";"5,9";"";"0,0"
"19/10/2025";"0700";"7,8";"8,5";"7,8";"90,0";"90,0";"87,0";"6,2";"6,6";"6,1";"905,6";"905,7";"905,5";"3,9";"148,0";"7,9";"";"0,0"
"19/10/2025";"0800";"6,8";"7,8";"6,8";"92,0";"93,0";"90,0";"5,7";"6,2";"5,6";"905,9";"905,9";"905,5";"2,9";"155,0";"5,8";"";"0,0"
"19/10/2025";"0900";"6,1";"6,9";"6,1";"94,0";"94,0";"91,0";"5,1";"5,7";"5,0";"906,5";"906,5";"905,9";"2,4";"133,0";"4,4";"10,80";"0,0"
"19/10/2025";"1000";"7,8";"7,9";"6,1";"84,0";"94,0";"84,0";"5,2";"5,5";"5,2";"907,0";"907,0";"906,5";"4,6";"138,0";"6,7";"426,80";"0,0"
"19/10/2025";"1100";"9,9";"9,9";"7,8";"74,0";"84,0";"74,0";"5,5";"6,3";"5,3";"907,2";"907,3";"907,0";"6,7";"137,0";"11,0";"1289,70";"0,0"
"19/10/2025";"1200";"11,0";"11,4";"9,8";"70,0";"75,0";"67,0";"5,8";"6,5";"5,1";"907,8";"907,8";"907,2";"6,8";"133,0";"11,3";"2050,40";"0,0"
"19/10/2025";"1300";"13,0";"14,0";"10,7";"65,0";"71,0";"63,0";"6,6";"8,3";"5,3";"907,9";"907,9";"907,7";"5,9";"129,0";"11,4";"2701,20";"0,0"
"19/10/2025";"1400";"13,2";"14,1";"12,6";"63,0";"68,0";"62,0";"6,4";"8,0";"5,9";"907,5";"907,9";"907,5";"4,9";"132,0";"9,8";"2786,50";"0,0"
"19/10/2025";"1500";"13,9";"15,4";"12,9";"58,0";"65,0";"56,0";"5,6";"8,4";"5,6";"907,3";"907,5";"907,2";"4,5";"144,0";"8,8";"3474,70";"0,0"
"19/10/2025";"1600";"14,9";"16,1";"13,7";"53,0";"62,0";"50,0";"5,3";"7,8";"5,3";"906,7";"907,3";"906,7";"4,1";"135,0";"9,5";"3661,00";"0,0"
"19/10/2025";"1700";"17,0";"17,6";"14,6";"52,0";"56,0";"46,0";"7,1";"7,9";"5,0";"905,5";"906,7";"905,4";"4,0";"132,0";"8,8";"3508,20";"0,0"
"19/10/2025";"1800";"15,9";"17,7";"15,4";"45,0";"53,0";"44,0";"4,0";"7,0";"4,0";"903,0";"905,5";"902,8";"5,6";"147,0";"9,0";"2947,50";"0,0"
"19/10/2025";"1900";"16,3";"17,9";"15,9";"46,0";"50,0";"41,0";"4,7";"6,5";"3,9";"903,0";"903,1";"902,7";"5,3";"136,0";"8,9";"2352,40";"0,0"
"19/10/2025";"2000";"15,8";"17,5";"15,8";"47,0";"50,0";"43,0";"4,5";"6,2";"4,0";"904,4";"904,4";"902,6";"3,1";"154,0";"8,3";"961,20";"0,0"
"19/10/2025";"2100";"15,5";"16,8";"15,2";"52,0";"54,0";"44,0";"5,6";"5,9";"4,4";"905,2";"905,2";"904,4";"2,7";"165,0";"6,0";"555,30";"0,0"
"19/10/2025";"2200";"13,9";"15,5";"13,9";"61,0";"61,0";"52,0";"6,4";"6,4";"5,7";"905,6";"905,6";"905,2";"2,9";"155,0";"5,8";"46,60";"0,0"
"19/10/2025";"2300";"13,0";"13,9";"13,0";"65,0";"65,0";"60,0";"6,6";"6,6";"6,3";"906,3";"906,3";"905,6";"4,5";"150,0";"7,5";"";"0,0"
"20/10/2025";"0000";"12,2";"12,9";"11,8";"71,0";"74,0";"65,0";"7,1";"7,2";"6,7";"906,9";"906,9";"906,3";"3,8";"134,0";"7,5";"";"0,0"
"20/10/2025";"0100";"11,0";"12,7";"11,0";"81,0";"81,0";"70,0";"7,8";"7,8";"7,1";"907,3";"907,3";"906,9";"5,1";"96,0";"10,3";"";"0,0"
"20/10/2025";"0200";"10,9";"11,1";"10,6";"79,0";"83,0";"79,0";"7,4";"7,9";"7,4";"907,4";"907,4";"907,2";"6,4";"97,0";"9,4";"";"0,0"
"20/10/2025";"0300";"9,8";"10,9";"9,7";"84,0";"84,0";"79,0";"7,2";"7,4";"7,0";"907,3";"907,4";"907,3";"6,3";"99,0";"11,6";"";"0,0"
"20/10/2025";"0400";"9,0";"9,8";"9,0";"88,0";"88,0";"84,0";"7,1";"7,3";"7,0";"907,0";"907,4";"907,0";"5,4";"89,0";"9,8";"";"0,0"
"20/10/2025";"0500";"8,1";"9,0";"8,1";"89,0";"90,0";"86,0";"6,5";"7,2";"6,5";"907,0";"907,1";"906,9";"5,6";"90,0";"9,6";"";"0,0"
"20/10/2025";"0600";"7,4";"8,2";"7,4";"91,0";"92,0";"90,0";"6,1";"6,6";"6,1";"907,0";"907,1";"906,9";"4,5";"104,0";"8,6";"";"0,0"
"20/10/2025";"0700";"7,1";"7,4";"7,1";"91,0";"92,0";"91,0";"5,8";"6,2";"5,8";"907,5";"907,5";"907,0";"4,5";"85,0";"7,6";"";"0,0"
"20/10/2025";"0800";"6,4";"7,2";"6,4";"92,0";"93,0";"91,0";"5,2";"5,9";"5,2";"907,9";"907,9";"907,5";"4,2";"69,0";"7,0";"";"0,0"
"20/10/2025";"0900";"6,2";"6,5";"6,1";"91,0";"92,0";"90,0";"4,8";"5,2";"4,7";"908,6";"908,6";"907,9";"4,6";"73,0";"7,0";"10,50";"0,0"
"20/10/2025";"1000";"8,2";"8,2";"6,2";"82,0";"91,0";"82,0";"5,3";"5,4";"4,8";"909,6";"909,6";"908,6";"6,7";"73,0";"10,0";"428,10";"0,0"
"20/10/2025";"1100";"10,2";"10,5";"8,2";"76,0";"82,0";"74,0";"6,1";"6,5";"5,3";"909,9";"909,9";"909,6";"8,8";"71,0";"13,0";"1255,70";"0,0"
"20/10/2025";"1200";"12,2";"12,5";"10,2";"67,0";"76,0";"65,0";"6,2";"7,0";"5,6";"910,1";"910,1";"909,8";"10,0";"85,0";"13,9";"2256,60";"0,0"
"20/10/2025";"1300";"13,9";"14,1";"12,0";"60,0";"68,0";"57,0";"6,2";"7,3";"5,4";"910,2";"910,3";"910,0";"8,2";"54,0";"13,9";"2901,10";"0,0"
"20/10/2025";"1400";"15,8";"16,5";"13,8";"52,0";"61,0";"47,0";"5,9";"7,3";"4,1";"909,8";"910,3";"909,7";"6,7";"70,0";"12,8";"3580,70";"0,0"
