"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"19/10/2025";"0000";"12,5";"13,5";"12,4";"86,0";"94,0";"86,0";"10,2";"12,5";"10,2";"905,4";"905,4";"904,5";"1,6";"96,0";"7,6";"";"0,0"
"19/10/2025";"0100";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19/10/2025";"0200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19/10/2025";"0300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19/10/2025";"0400";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19/10/2025";"0500";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19/10/2025";"0600";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19/10/2025";"0700";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19/10/2025";"0800";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19/10/2025";"0900";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19/10/2025";"1000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19/10/2025";"1100";"11,1";"11,2";"9,7";"76,0";"83,0";"75,0";"7,1";"7,5";"6,5";"908,3";"908,3";"907,8";"2,4";"73,0";"";"855,00";"0,0"
"19/10/2025";"1200";"13,6";"13,9";"11,2";"65,0";"79,0";"65,0";"7,2";"8,5";"6,8";"908,6";"908,6";"908,3";"2,4";"76,0";"7,7";"2149,40";"0,0"
"19/10/2025";"1300";"14,6";"15,1";"13,1";"58,0";"68,0";"58,0";"6,4";"8,0";"5,9";"908,6";"908,7";"908,6";"1,7";"76,0";"6,4";"2752,30";"0,0"
"19/10/2025";"1400";"16,7";"16,9";"14,4";"55,0";"62,0";"53,0";"7,5";"8,7";"6,5";"908,0";"908,7";"907,9";"3,0";"29,0";"6,4";"3554,50";"0,0"
"19/10/2025";"1500";"17,4";"17,8";"16,1";"53,0";"58,0";"48,0";"7,7";"8,5";"6,0";"907,5";"908,0";"907,5";"2,4";"36,0";"7,1";"3807,10";"0,0"
"19/10/2025";"1600";"18,6";"19,1";"17,0";"51,0";"59,0";"47,0";"8,3";"10,1";"6,6";"907,1";"907,6";"907,1";"2,1";"10,0";"6,3";"3140,00";"0,0"
"19/10/2025";"1700";"19,2";"20,9";"17,9";"46,0";"53,0";"40,0";"7,2";"9,2";"5,7";"906,2";"907,1";"906,2";"2,7";"26,0";"5,9";"3127,90";"0,0"
"19/10/2025";"1800";"20,6";"21,2";"18,4";"46,0";"51,0";"40,0";"8,5";"9,6";"6,5";"905,4";"906,2";"905,4";"1,3";"26,0";"6,2";"2562,50";"0,0"
"19/10/2025";"1900";"19,7";"20,7";"17,9";"48,0";"58,0";"43,0";"8,4";"9,6";"7,0";"905,6";"905,6";"905,4";"1,3";"9,0";"5,7";"1491,20";"0,0"
"19/10/2025";"2000";"18,6";"21,2";"17,9";"54,0";"62,0";"45,0";"9,0";"10,6";"7,7";"905,8";"905,9";"905,6";"1,1";"12,0";"5,0";"1028,90";"0,0"
"19/10/2025";"2100";"15,9";"18,6";"15,9";"61,0";"62,0";"52,0";"8,4";"9,2";"7,8";"906,4";"906,4";"905,8";"1,6";"28,0";"6,3";"418,30";"0,0"
"19/10/2025";"2200";"12,3";"15,9";"12,3";"78,0";"80,0";"61,0";"8,6";"9,1";"8,3";"907,0";"907,0";"906,4";"0,8";"43,0";"4,5";"38,00";"0,0"
"19/10/2025";"2300";"10,0";"12,4";"10,0";"88,0";"88,0";"78,0";"8,1";"8,9";"8,0";"907,5";"907,6";"907,0";"0,2";"131,0";"2,9";"";"0,0"
