"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"19/10/2025";"0000";"15,8";"17,5";"15,8";"57,0";"57,0";"54,0";"7,4";"8,3";"7,4";"1011,9";"1011,9";"1010,9";"";"";"";"";"0,0"
"19/10/2025";"0100";"14,8";"16,1";"14,7";"62,0";"62,0";"55,0";"7,6";"7,6";"7,0";"1012,7";"1012,7";"1011,9";"";"";"";"";"0,0"
"19/10/2025";"0200";"14,3";"14,9";"14,3";"62,0";"64,0";"62,0";"7,1";"7,7";"7,1";"1013,4";"1013,4";"1012,7";"";"";"";"";"0,0"
"19/10/2025";"0300";"12,6";"14,4";"12,6";"71,0";"71,0";"62,0";"7,5";"7,5";"7,0";"1013,4";"1013,6";"1013,4";"";"";"";"";"0,0"
"19/10/2025";"0400";"11,9";"12,6";"11,6";"75,0";"76,0";"71,0";"7,6";"7,7";"7,3";"1013,2";"1013,4";"1012,9";"";"";"";"";"0,0"
"19/10/2025";"0500";"11,1";"11,9";"11,1";"79,0";"79,0";"75,0";"7,6";"7,7";"7,5";"1012,8";"1013,2";"1012,8";"";"";"";"";"0,0"
"19/10/2025";"0600";"10,1";"11,1";"10,0";"85,0";"85,0";"79,0";"7,7";"7,7";"7,4";"1012,6";"1012,8";"1012,6";"";"";"";"";"0,0"
"19/10/2025";"0700";"9,8";"10,3";"9,7";"86,0";"87,0";"84,0";"7,6";"7,9";"7,5";"1012,6";"1012,6";"1012,5";"";"";"";"";"0,0"
"19/10/2025";"0800";"9,3";"9,8";"8,7";"90,0";"93,0";"86,0";"7,6";"7,9";"7,3";"1012,7";"1012,8";"1012,6";"";"";"";"";"0,0"
"19/10/2025";"0900";"9,0";"9,7";"8,8";"89,0";"91,0";"88,0";"7,3";"7,9";"7,3";"1013,4";"1013,4";"1012,7";"";"";"";"0,90";"0,0"
"19/10/2025";"1000";"12,0";"12,0";"9,0";"80,0";"90,0";"78,0";"8,6";"8,7";"7,3";"1014,2";"1014,2";"1013,4";"";"";"";"265,20";"0,0"
"19/10/2025";"1100";"13,2";"13,4";"12,0";"73,0";"80,0";"72,0";"8,4";"9,3";"7,9";"1015,0";"1015,0";"1014,2";"";"";"";"1067,30";"0,0"
"19/10/2025";"1200";"14,7";"15,1";"13,2";"69,0";"74,0";"65,0";"9,1";"9,2";"8,0";"1015,3";"1015,4";"1015,0";"";"";"";"1937,00";"0,0"
"19/10/2025";"1300";"16,9";"16,9";"14,7";"64,0";"70,0";"64,0";"10,1";"10,4";"8,5";"1015,1";"1015,3";"1015,1";"";"";"";"2616,20";"0,0"
"19/10/2025";"1400";"17,9";"18,2";"16,2";"57,0";"65,0";"55,0";"9,3";"10,7";"8,9";"1015,0";"1015,2";"1014,9";"";"";"";"3008,80";"0,0"
"19/10/2025";"1500";"18,5";"19,7";"17,2";"54,0";"62,0";"50,0";"9,1";"10,7";"8,0";"1014,3";"1015,0";"1014,2";"";"";"";"3333,70";"0,0"
