"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/09/2025";"0000";"";"";"";"";"";"";"";"";"";"941,9";"941,9";"941,6";"4,3";"89,0";"7,7";"";"0,0"
"01/09/2025";"0100";"";"";"";"";"";"";"";"";"";"941,8";"942,1";"941,8";"4,7";"87,0";"8,7";"";"0,0"
"01/09/2025";"0200";"";"";"";"";"";"";"";"";"";"941,7";"942,0";"941,7";"6,2";"95,0";"10,1";"";"0,0"
"01/09/2025";"0300";"";"";"";"";"";"";"";"";"";"941,9";"941,9";"941,6";"4,9";"88,0";"10,3";"";"0,0"
"01/09/2025";"0400";"";"";"";"";"";"";"";"";"";"942,0";"942,1";"941,8";"3,3";"87,0";"8,0";"";"0,0"
"01/09/2025";"0500";"";"";"";"";"";"";"";"";"";"941,7";"942,0";"941,7";"4,3";"84,0";"6,6";"";"0,0"
"01/09/2025";"0600";"";"";"";"";"";"";"";"";"";"940,7";"941,7";"940,7";"5,6";"91,0";"9,3";"";"0,0"
"01/09/2025";"0700";"";"";"";"";"";"";"";"";"";"940,5";"940,7";"940,5";"5,3";"93,0";"9,5";"";"0,0"
"01/09/2025";"0800";"";"";"";"";"";"";"";"";"";"939,6";"940,6";"939,5";"7,1";"93,0";"10,6";"";"0,0"
"01/09/2025";"0900";"";"";"";"";"";"";"";"";"";"939,5";"940,0";"939,4";"6,5";"90,0";"10,6";"";"0,0"
"01/09/2025";"1000";"";"";"";"";"";"";"";"";"";"940,1";"940,1";"939,5";"6,0";"83,0";"10,3";"10,70";"0,0"
"01/09/2025";"1100";"";"";"";"";"";"";"";"";"";"941,2";"941,3";"940,1";"4,1";"60,0";"10,2";"274,90";"0,0"
"01/09/2025";"1200";"";"";"";"";"";"";"";"";"";"942,8";"942,8";"941,1";"4,9";"57,0";"10,4";"828,70";"0,0"
"01/09/2025";"1300";"";"";"";"";"";"";"";"";"";"945,1";"945,1";"942,8";"6,1";"355,0";"9,0";"1471,20";"0,0"
"01/09/2025";"1400";"";"";"";"";"";"";"";"";"";"944,6";"945,1";"944,4";"3,9";"358,0";"8,9";"2289,30";"0,0"
"01/09/2025";"1500";"";"";"";"";"";"";"";"";"";"944,4";"944,6";"944,2";"4,8";"352,0";"8,1";"1792,90";"0,0"
"01/09/2025";"1600";"";"";"";"";"";"";"";"";"";"943,5";"944,4";"943,5";"3,8";"4,0";"8,1";"1311,50";"0,0"
"01/09/2025";"1700";"";"";"";"";"";"";"";"";"";"942,7";"943,5";"942,7";"3,0";"55,0";"6,8";"2177,80";"0,0"
"01/09/2025";"1800";"";"";"";"";"";"";"";"";"";"942,2";"942,7";"942,2";"4,3";"2,0";"7,6";"1537,90";"0,0"
"01/09/2025";"1900";"";"";"";"";"";"";"";"";"";"942,0";"942,3";"942,0";"3,8";"3,0";"7,7";"974,20";"0,0"
"01/09/2025";"2000";"";"";"";"";"";"";"";"";"";"941,8";"942,0";"941,5";"4,2";"17,0";"7,7";"687,00";"0,0"
"01/09/2025";"2100";"";"";"";"";"";"";"";"";"";"941,2";"941,9";"941,2";"3,4";"55,0";"6,1";"190,90";"0,0"
"01/09/2025";"2200";"";"";"";"";"";"";"";"";"";"941,5";"941,5";"940,9";"2,5";"51,0";"5,7";"2,80";"0,0"
"01/09/2025";"2300";"";"";"";"";"";"";"";"";"";"941,5";"941,6";"941,4";"1,5";"125,0";"3,7";"";"0,0"
"02/09/2025";"0000";"";"";"";"";"";"";"";"";"";"941,6";"941,6";"941,5";"2,0";"88,0";"3,9";"";"0,0"
"02/09/2025";"0100";"";"";"";"";"";"";"";"";"";"942,0";"942,0";"941,6";"3,2";"86,0";"5,3";"";"0,0"
"02/09/2025";"0200";"";"";"";"";"";"";"";"";"";"942,0";"942,0";"941,9";"3,6";"90,0";"6,0";"";"0,0"
"02/09/2025";"0300";"";"";"";"";"";"";"";"";"";"942,0";"942,3";"942,0";"3,7";"82,0";"6,0";"";"0,0"
"02/09/2025";"0400";"";"";"";"";"";"";"";"";"";"941,9";"942,0";"941,7";"1,9";"111,0";"6,5";"";"0,0"
"02/09/2025";"0500";"";"";"";"";"";"";"";"";"";"941,9";"941,9";"941,7";"3,0";"91,0";"5,3";"";"0,0"
"02/09/2025";"0600";"";"";"";"";"";"";"";"";"";"941,4";"941,9";"941,4";"3,2";"85,0";"6,1";"";"0,0"
"02/09/2025";"0700";"";"";"";"";"";"";"";"";"";"940,9";"941,4";"940,9";"3,5";"90,0";"6,5";"";"0,0"
"02/09/2025";"0800";"";"";"";"";"";"";"";"";"";"940,7";"941,0";"940,6";"4,4";"83,0";"7,5";"";"0,0"
"02/09/2025";"0900";"";"";"";"";"";"";"";"";"";"940,7";"940,7";"940,5";"4,0";"93,0";"7,8";"";"0,0"
"02/09/2025";"1000";"";"";"";"";"";"";"";"";"";"940,9";"940,9";"940,7";"4,6";"101,0";"7,2";"2,90";"0,0"
"02/09/2025";"1100";"";"";"";"";"";"";"";"";"";"941,5";"941,5";"940,9";"4,7";"99,0";"7,4";"130,70";"0,0"
"02/09/2025";"1200";"";"";"";"";"";"";"";"";"";"942,1";"942,2";"941,5";"4,8";"90,0";"7,8";"217,40";"0,0"
"02/09/2025";"1300";"";"";"";"";"";"";"";"";"";"942,4";"942,4";"942,1";"4,6";"89,0";"8,1";"633,10";"0,0"
"02/09/2025";"1400";"";"";"";"";"";"";"";"";"";"942,7";"942,7";"942,4";"4,6";"93,0";"7,8";"1224,80";"0,0"
"02/09/2025";"1500";"";"";"";"";"";"";"";"";"";"942,2";"942,7";"942,2";"4,6";"91,0";"8,7";"2010,60";"0,0"
"02/09/2025";"1600";"";"";"";"";"";"";"";"";"";"941,3";"942,2";"941,3";"4,0";"95,0";"7,5";"2809,30";"0,0"
"02/09/2025";"1700";"";"";"";"";"";"";"";"";"";"940,3";"941,3";"940,3";"3,5";"77,0";"6,9";"2921,80";"0,0"
"02/09/2025";"1800";"";"";"";"";"";"";"";"";"";"939,7";"940,3";"939,6";"6,1";"47,0";"10,4";"2267,80";"0,0"
"02/09/2025";"1900";"";"";"";"";"";"";"";"";"";"939,4";"939,7";"939,2";"6,5";"31,0";"10,7";"1783,50";"0,0"
"02/09/2025";"2000";"";"";"";"";"";"";"";"";"";"939,4";"939,5";"939,1";"4,1";"49,0";"10,7";"471,80";"0,0"
"02/09/2025";"2100";"";"";"";"";"";"";"";"";"";"939,5";"939,6";"939,2";"3,3";"87,0";"8,1";"434,20";"0,0"
"02/09/2025";"2200";"";"";"";"";"";"";"";"";"";"939,6";"939,6";"939,5";"3,7";"85,0";"6,2";"7,70";"0,0"
"02/09/2025";"2300";"";"";"";"";"";"";"";"";"";"939,6";"939,7";"939,5";"4,8";"75,0";"8,3";"";"0,0"
"03/09/2025";"0000";"";"";"";"";"";"";"";"";"";"940,0";"940,0";"939,6";"4,5";"69,0";"8,7";"";"0,0"
"03/09/2025";"0100";"";"";"";"";"";"";"";"";"";"939,6";"940,0";"939,6";"4,7";"60,0";"7,5";"";"0,0"
"03/09/2025";"0200";"";"";"";"";"";"";"";"";"";"939,5";"939,7";"939,4";"4,9";"49,0";"8,7";"";"0,0"
"03/09/2025";"0300";"";"";"";"";"";"";"";"";"";"938,8";"939,5";"938,8";"6,9";"43,0";"10,9";"";"0,0"
"03/09/2025";"0400";"";"";"";"";"";"";"";"";"";"938,4";"938,9";"938,3";"7,2";"39,0";"12,8";"";"0,0"
"03/09/2025";"0500";"";"";"";"";"";"";"";"";"";"938,0";"938,4";"937,8";"6,6";"32,0";"13,8";"";"0,0"
"03/09/2025";"0600";"";"";"";"";"";"";"";"";"";"937,7";"938,1";"937,7";"6,8";"40,0";"12,9";"";"0,0"
"03/09/2025";"0700";"";"";"";"";"";"";"";"";"";"937,3";"937,7";"937,3";"6,1";"39,0";"11,4";"";"0,0"
"03/09/2025";"0800";"";"";"";"";"";"";"";"";"";"937,5";"937,6";"937,3";"6,6";"40,0";"10,5";"";"0,0"
"03/09/2025";"0900";"";"";"";"";"";"";"";"";"";"937,6";"937,6";"937,1";"6,8";"28,0";"13,7";"";"0,0"
"03/09/2025";"1000";"";"";"";"";"";"";"";"";"";"938,5";"938,6";"937,6";"5,5";"33,0";"11,3";"7,00";"0,0"
"03/09/2025";"1100";"";"";"";"";"";"";"";"";"";"939,1";"939,1";"938,5";"6,5";"24,0";"11,8";"210,90";"0,0"
"03/09/2025";"1200";"";"";"";"";"";"";"";"";"";"939,0";"939,1";"938,8";"8,5";"26,0";"14,2";"864,00";"0,0"
"03/09/2025";"1300";"";"";"";"";"";"";"";"";"";"939,0";"939,2";"938,9";"6,8";"23,0";"14,2";"1566,90";"0,0"
"03/09/2025";"1400";"";"";"";"";"";"";"";"";"";"939,0";"939,2";"938,9";"7,7";"14,0";"14,8";"1358,70";"0,0"
"03/09/2025";"1500";"";"";"";"";"";"";"";"";"";"938,2";"939,0";"938,0";"8,8";"12,0";"14,4";"1137,40";"0,0"
"03/09/2025";"1600";"";"";"";"";"";"";"";"";"";"937,2";"938,2";"937,2";"8,7";"11,0";"15,1";"1515,50";"0,0"
"03/09/2025";"1700";"";"";"";"";"";"";"";"";"";"936,5";"937,3";"936,5";"8,7";"3,0";"15,1";"1897,40";"0,0"
"03/09/2025";"1800";"";"";"";"";"";"";"";"";"";"935,7";"936,6";"935,7";"6,5";"12,0";"12,5";"2108,60";"0,0"
